Site,Crop,Project,ID,Specificity_to_disease_level_1,Pvalue,FDR,Kingdom,Phylum
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_01577,5.140180366,0,0,Bacteria,Abditibacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00253,1.267319624,0.1029,0.13521311,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00975,-0.638502539,0.2406,0.279511051,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00054,-0.741853887,0.2501,0.289766398,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_01666,-0.892492317,0.1501,0.184310826,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00701,-1.040427237,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00431,-1.205698275,0.1091,0.141207508,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00201,-1.25331462,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_01766,-1.37390564,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_02079,-1.460584232,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00417,-1.577722462,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_01358,-1.765070286,0.0141,0.025641772,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00877,-1.857526392,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_01055,-1.878288552,0,0,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00199,-2.441372148,4.00E-04,0.000936957,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00080,-2.501776387,5.00E-04,0.001158602,Bacteria,Acidobacteriota
Kashihara,tomato,Effect_of_treatment_of_biological_control_egent_for_Fusarium_wilt_in_tomato_field-Tomato,Bac_00026,-2.620748286,2.00E-04,0.000495402,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00026,4.759798472,0,0,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00021,4.707632886,1.00E-04,0.000285345,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00082,3.023110536,0.0029,0.006114013,Bacteria,Acidobacteriota
Kuki,eggplant,Control_of_Bacterial_Wilt_Disease_by_microorganisms_in_eggplant_field-Eggplant,Bac_00136,2.537020146,0.0117,0.020490476,Bacteria,Acidobacteriota
