Sample.ID,latitude_north,longitude_east,site,crop
S_0001,35.12.00,139.37.48,Yokosuka,Cabbage
S_0002,35.12.00,139.37.48,Yokosuka,Cabbage
S_0003,35.12.00,139.37.48,Yokosuka,Cabbage
S_0004,35.12.00,139.37.48,Yokosuka,Cabbage
S_0005,35.12.00,139.37.48,Yokosuka,Cabbage
S_0006,35.12.00,139.37.48,Yokosuka,Cabbage
S_0007,35.12.00,139.37.48,Yokosuka,Cabbage
S_0008,35.12.00,139.37.48,Yokosuka,Cabbage
S_0009,35.12.00,139.37.48,Yokosuka,Cabbage
S_0010,35.12.00,139.37.48,Yokosuka,Cabbage
S_0011,35.12.00,139.37.48,Yokosuka,Cabbage
S_0012,35.12.00,139.37.48,Yokosuka,Cabbage
S_0013,35.12.00,139.37.48,Yokosuka,Cabbage
S_0014,35.12.00,139.37.48,Yokosuka,Cabbage
S_0015,35.12.00,139.37.48,Yokosuka,Cabbage
S_0016,35.12.00,139.37.48,Yokosuka,Cabbage
S_0017,36.01.12,140.06.36,Tsukuba,Cabbage
S_0018,36.01.12,140.06.36,Tsukuba,Cabbage
S_0019,36.01.12,140.06.36,Tsukuba,Cabbage
S_0020,36.01.12,140.06.36,Tsukuba,Cabbage
S_0021,36.01.12,140.06.36,Tsukuba,Cabbage
S_0022,36.01.12,140.06.36,Tsukuba,Cabbage
S_0023,36.01.12,140.06.36,Tsukuba,Cabbage
S_0024,36.01.12,140.06.36,Tsukuba,Cabbage
S_0025,36.01.48,140.06.00,Tsukuba,Cabbage
S_0026,36.01.48,140.06.00,Tsukuba,Cabbage
S_0027,36.01.48,140.06.00,Tsukuba,Cabbage
S_0028,36.01.48,140.06.00,Tsukuba,Cabbage
S_0029,36.01.48,140.06.00,Tsukuba,Cabbage
S_0030,36.01.12,140.06.36,Tsukuba,Cabbage
S_0031,36.01.12,140.06.36,Tsukuba,Cabbage
S_0032,36.01.12,140.06.36,Tsukuba,Cabbage
S_0033,36.01.48,140.06.00,Tsukuba,Cabbage
S_0034,36.01.48,140.06.00,Tsukuba,Cabbage
S_0035,36.01.48,140.06.00,Tsukuba,Cabbage
S_0036,36.01.48,140.06.00,Tsukuba,Cabbage
S_0037,36.01.48,140.06.00,Tsukuba,Cabbage
S_0038,36.01.48,140.06.00,Tsukuba,Cabbage
S_0039,36.01.48,140.06.00,Tsukuba,Cabbage
S_0040,36.01.48,140.06.00,Tsukuba,Cabbage
S_0041,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0042,40.18.36,141.23.24,Karumai,Cabbage
S_0043,40.18.36,141.23.24,Karumai,Cabbage
S_0044,40.18.36,141.23.24,Karumai,Cabbage
S_0045,40.18.36,141.23.24,Karumai,Cabbage
S_0046,36.01.48,140.06.00,Tsukuba,Cabbage
S_0047,36.01.48,140.06.00,Tsukuba,Cabbage
S_0048,36.01.48,140.06.00,Tsukuba,Cabbage
S_0049,35.12.00,139.37.48,Yokosuka,Cabbage
S_0050,35.12.00,139.37.48,Yokosuka,Cabbage
S_0051,35.12.00,139.37.48,Yokosuka,Cabbage
S_0052,35.12.00,139.37.48,Yokosuka,Cabbage
S_0053,35.12.00,139.37.48,Yokosuka,Cabbage
S_0054,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0055,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0056,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0057,35.12.00,139.37.48,Yokosuka,Cabbage
S_0058,35.12.00,139.37.48,Yokosuka,Cabbage
S_0059,35.12.00,139.37.48,Yokosuka,Cabbage
S_0060,35.12.00,139.37.48,Yokosuka,Cabbage
S_0061,35.12.00,139.37.48,Yokosuka,Cabbage
S_0062,35.12.00,139.37.48,Yokosuka,Cabbage
S_0063,35.12.00,139.37.48,Yokosuka,Cabbage
S_0064,35.12.00,139.37.48,Yokosuka,Cabbage
S_0065,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0066,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0067,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0068,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0069,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0070,35.12.00,139.37.48,Yokosuka,Cabbage
S_0071,35.12.00,139.37.48,Yokosuka,Cabbage
S_0072,35.12.00,139.37.48,Yokosuka,Cabbage
S_0073,36.00.58,140.06.25,Tsukuba,Cabbage
S_0074,36.00.58,140.06.25,Tsukuba,Cabbage
S_0075,36.00.58,140.06.25,Tsukuba,Cabbage
S_0076,36.00.58,140.06.25,Tsukuba,Cabbage
S_0077,36.01.12,140.06.36,Tsukuba,Cabbage
S_0078,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0079,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0080,34.37.48,136.29.24,Matsuzaka,Cabbage
S_0081,36.00.58,140.06.25,Tsukuba,Cabbage
S_0082,36.00.58,140.06.25,Tsukuba,Cabbage
S_0083,36.00.58,140.06.25,Tsukuba,Cabbage
S_0084,36.00.58,140.06.25,Tsukuba,Cabbage
S_0085,36.00.58,140.06.25,Tsukuba,Cabbage
S_0086,36.00.58,140.06.25,Tsukuba,Cabbage
S_0087,36.00.58,140.06.25,Tsukuba,Cabbage
S_0088,36.00.58,140.06.25,Tsukuba,Cabbage
S_0089,36.00.58,140.06.25,Tsukuba,Cabbage
S_0090,36.00.58,140.06.25,Tsukuba,Cabbage
S_0091,36.00.58,140.06.25,Tsukuba,Cabbage
S_0092,36.00.58,140.06.25,Tsukuba,Cabbage
S_0093,36.00.58,140.06.25,Tsukuba,Cabbage
S_0094,36.00.58,140.06.25,Tsukuba,Cabbage
S_0095,36.00.58,140.06.25,Tsukuba,Cabbage
S_0096,36.00.58,140.06.25,Tsukuba,Cabbage
S_0097,42.33.41,142.06.06,Hokkaido,Tomato
S_0098,42.33.50,142.06.02,Hokkaido,Tomato
S_0099,42.33.56,142.06.08,Hokkaido,Tomato
S_0100,42.33.56,142.06.08,Hokkaido,Tomato
S_0101,36.00.58,140.06.25,Tsukuba,Cabbage
S_0102,36.00.58,140.06.25,Tsukuba,Cabbage
S_0103,36.00.58,140.06.25,Tsukuba,Cabbage
S_0104,36.00.58,140.06.25,Tsukuba,Cabbage
S_0105,42.33.29,142.05.47,Hokkaido,Tomato
S_0106,42.33.33,142.05.48,Hokkaido,Tomato
S_0107,42.33.33,142.05.48,Hokkaido,Tomato
S_0108,42.33.39,142.05.41,Hokkaido,Tomato
S_0109,42.33.53,142.06.05,Hokkaido,Tomato
S_0110,42.33.56,142.05.34,Hokkaido,Tomato
S_0111,42.33.40,142.06.04,Hokkaido,Tomato
S_0112,42.33.41,142.06.07,Hokkaido,Tomato
S_0113,37.42.39,140.23.25,Fukushima,Spinach
S_0114,37.42.39,140.23.25,Fukushima,Spinach
S_0115,37.42.39,140.23.25,Fukushima,Spinach
S_0116,NA,NA,Hokkaido,Tomato
S_0117,42.33.41,142.05.40,Hokkaido,Tomato
S_0118,42.33.41,142.05.40,Hokkaido,Tomato
S_0119,42.33.41,142.05.40,Hokkaido,Tomato
S_0120,42.33.43,142.05.34,Hokkaido,Tomato
S_0121,37.42.37,140.23.29,Fukushima,Komatsuna
S_0122,37.42.37,140.23.29,Fukushima,Komatsuna
S_0123,37.42.37,140.23.29,Fukushima,Komatsuna
S_0124,37.42.39,140.23.25,Fukushima,Spinach
S_0125,37.42.39,140.23.25,Fukushima,Spinach
S_0126,37.42.39,140.23.25,Fukushima,Spinach
S_0127,37.42.39,140.23.25,Fukushima,Spinach
S_0128,37.42.39,140.23.25,Fukushima,Spinach
S_0129,37.42.37,140.23.29,Fukushima,Komatsuna
S_0130,37.42.37,140.23.29,Fukushima,Komatsuna
S_0131,37.42.37,140.23.29,Fukushima,Komatsuna
S_0132,37.42.37,140.23.29,Fukushima,Komatsuna
S_0133,37.42.37,140.23.29,Fukushima,Komatsuna
S_0134,37.42.37,140.23.29,Fukushima,Komatsuna
S_0135,37.42.37,140.23.29,Fukushima,Komatsuna
S_0136,37.42.37,140.23.29,Fukushima,Komatsuna
S_0137,37.42.39,140.23.25,Fukushima,Spinach
S_0138,37.42.39,140.23.25,Fukushima,Spinach
S_0139,37.42.39,140.23.25,Fukushima,Spinach
S_0140,37.42.39,140.23.25,Fukushima,Spinach
S_0141,37.42.39,140.23.25,Fukushima,Spinach
S_0142,37.42.39,140.23.25,Fukushima,Spinach
S_0143,37.42.39,140.23.25,Fukushima,Spinach
S_0144,37.42.37,140.23.29,Fukushima,Komatsuna
S_0145,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
S_0146,35.18.00,135.15.00,"aono,_ayabe,_KYOTO",Spinach
