Sample.ID,latitude_north,longitude_east,site,crop,crop_group
S_0001,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0002,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0003,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0004,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0005,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0006,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0007,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0008,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0009,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0010,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0011,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0012,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0013,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0014,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0015,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0016,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0017,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0018,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0019,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0020,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0021,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0022,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0023,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0024,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0025,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0026,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0027,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0028,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0029,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0030,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0031,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0032,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0033,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0034,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0035,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0036,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0037,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0038,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0039,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0040,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0041,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0042,40.31,141.39,Karumai,Cabbage,Vegetables
S_0043,40.31,141.39,Karumai,Cabbage,Vegetables
S_0044,40.31,141.39,Karumai,Cabbage,Vegetables
S_0045,40.31,141.39,Karumai,Cabbage,Vegetables
S_0046,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0047,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0048,36.03,140.1,Tsukuba,Cabbage,Vegetables
S_0049,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0050,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0051,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0052,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0053,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0054,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0055,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0056,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0057,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0058,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0059,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0060,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0061,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0062,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0063,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0064,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0065,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0066,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0067,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0068,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0069,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0070,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0071,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0072,35.2,139.63,Yokosuka,Cabbage,Vegetables
S_0073,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0074,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0075,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0076,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0077,36.02,140.11,Tsukuba,Cabbage,Vegetables
S_0078,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0079,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0080,34.63,136.49,Matsuzaka,Cabbage,Vegetables
S_0081,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0082,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0083,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0084,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0085,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0086,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0087,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0088,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0089,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0090,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0091,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0092,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0093,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0094,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0095,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0096,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0097,42.5614,142.1017,Hokkaido,Tomato,Vegetables
S_0098,42.5639,142.1006,Hokkaido,Tomato,Vegetables
S_0099,42.5656,142.1022,Hokkaido,Tomato,Vegetables
S_0100,42.5656,142.1022,Hokkaido,Tomato,Vegetables
S_0101,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0102,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0103,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0104,36.0161,140.1069,Tsukuba,Cabbage,Vegetables
S_0105,42.5581,142.0964,Hokkaido,Tomato,Vegetables
S_0106,42.5592,142.0967,Hokkaido,Tomato,Vegetables
S_0107,42.5592,142.0967,Hokkaido,Tomato,Vegetables
S_0108,42.5608,142.0947,Hokkaido,Tomato,Vegetables
S_0109,42.5647,142.1014,Hokkaido,Tomato,Vegetables
S_0110,42.5656,142.0928,Hokkaido,Tomato,Vegetables
S_0111,42.5611,142.1011,Hokkaido,Tomato,Vegetables
S_0112,42.5614,142.1019,Hokkaido,Tomato,Vegetables
S_0113,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0114,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0115,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0117,42.5614,142.0944,Hokkaido,Tomato,Vegetables
S_0118,42.5614,142.0944,Hokkaido,Tomato,Vegetables
S_0119,42.5614,142.0944,Hokkaido,Tomato,Vegetables
S_0120,42.5619,142.0928,Hokkaido,Tomato,Vegetables
S_0121,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0122,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0123,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0124,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0125,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0126,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0127,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0128,37.7108,140.3903,Fukushima,Spinach,Vegetables
S_0129,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0130,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0131,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0132,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0133,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
S_0134,37.7103,140.3914,Fukushima,Komatsuna,Vegetables
